cep,logradouro,complemento,unidade,bairro,localidade,uf,estado,regiao,ibge,gia,ddd,siafi
01311-912,Avenida Paulista,639,Edifício Silvana,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
05440-001,Rua Paulistânia,de 453/454 ao fim,,Sumarezinho,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-916,Avenida Paulista,923,Edifício Banco Mercantil do Brasil,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-000,Avenida Paulista,até 609 - lado ímpar,,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-916,Avenida Paulista,1374,Brazilian Finance Center,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-910,Avenida Paulista,726,Edifício Palácio Quinta Avenida,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-928,Avenida Paulista,1499,Edifício Conde Andréa Matarazzo,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-934,Avenida Paulista,2313,Edifício Novavenida,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-915,Avenida Paulista,807,Edifício Sir Winston Churchill,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-904,Avenida Paulista,171,Edifício Dom Pedro I de Alcântara,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
05440-000,Rua Paulistânia,até 451/452,,Sumarezinho,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-935,Avenida Paulista,352,América Travel Viagens e Turismo Ltda.,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-300,Avenida Paulista,de 2134 ao fim - lado par,,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-901,Avenida Paulista,21,Edifício Queen Elizabeth,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-904,Avenida Paulista,460,Edifício Pedro Biagi,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-905,Avenida Paulista,347,Edifício Tuiuti,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-924,Avenida Paulista,1912,Edifício Funcef Center,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-933,Avenida Paulista,2163,Banco do Brasil S.A,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-917,Avenida Paulista,1450,Banco Bradesco S A.,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-931,Avenida Paulista,2166,Banco Nacional S.A.,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-200,Avenida Paulista,de 1512 a 2132 - lado par,,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-941,Avenida Paulista,807,Rádio Jovem Pan,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-900,Avenida Paulista,52,Bradesco Saúde S.A.,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-926,Avenida Paulista,1439,Edifício Mário Walace Simonse Cochrane,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-917,Avenida Paulista,949,Edifício Sumitomo Paulista,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-902,Avenida Paulista,326,Edifício Maria José,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-930,Avenida Paulista,1765,Edifício Scarpa,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-918,Avenida Paulista,1708,Banco Union S.A.,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-100,Avenida Paulista,de 612 a 1510 - lado par,,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-907,Avenida Paulista,648,Edifício Nações Unidas,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-903,Avenida Paulista,119,Edifício José Papa Júnior,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-936,Avenida Paulista,2439,Edifício Eloy Chaves,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
22050-903,Avenida Nossa Senhora de Copacabana,664,Condomínio Galeria Menescal,Copacabana,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22020-001,Avenida Nossa Senhora de Copacabana,de 46 a 558 - lado par,,Copacabana,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22060-900,Avenida Nossa Senhora de Copacabana,861,Edifício Ike,Copacabana,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22050-902,Avenida Nossa Senhora de Copacabana,605,Edifício Júlio Siqueira,Copacabana,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22070-012,Avenida Nossa Senhora de Copacabana,de 1170 ao fim - lado par,,Copacabana,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22070-011,Avenida Nossa Senhora de Copacabana,de 1109 ao fim - lado ímpar,,Copacabana,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22010-122,Avenida Nossa Senhora de Copacabana,até 44 - lado par,,Leme,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22060-002,Avenida Nossa Senhora de Copacabana,de 842 a 1168 - lado par,,Copacabana,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22010-121,Avenida Nossa Senhora de Copacabana,até 31 - lado ímpar,,Leme,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22060-001,Avenida Nossa Senhora de Copacabana,de 833 a 1107 - lado ímpar,,Copacabana,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22020-959,Avenida Nossa Senhora de Copacabana,540 Loja A,AC Copacabana,Copacabana,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22050-002,Avenida Nossa Senhora de Copacabana,de 583 a 831 - lado ímpar,,Copacabana,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22050-901,Avenida Nossa Senhora de Copacabana,647,Edifício Gonçalves Ledo,Copacabana,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22050-001,Avenida Nossa Senhora de Copacabana,de 560 a 840 - lado par,,Copacabana,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22020-970,Avenida Nossa Senhora de Copacabana,540 Loja A,AC Copacabana,Copacabana,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22031-000,Avenida Nossa Senhora de Copacabana,de 487 a 581 - lado ímpar,,Copacabana,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22050-900,Avenida Nossa Senhora de Copacabana,680,Edifício Central de Copacabana,Copacabana,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
22020-002,Avenida Nossa Senhora de Copacabana,de 33 a 485 - lado ímpar,,Copacabana,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
30180-908,Avenida Amazonas,641,Edifício Gaugin,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30431-025,Avenida Amazonas,de 3681 a 4199 - lado ímpar,,Alto Barroca,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30421-026,Avenida Amazonas,de 4200 a 5120 - lado par,,Nova Suíssa,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-904,Avenida Amazonas,298,Edifício Bradesco,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-007,Avenida Amazonas,de 1781 a 2169 - lado ímpar,,Santo Agostinho,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30441-001,Avenida Amazonas,de 2581 a 3129 - lado ímpar,,Gutierrez,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-903,Avenida Amazonas,135,Edifício Codó,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-009,Avenida Amazonas,de 2171 a 2579 - lado ímpar,,Santo Agostinho,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30510-900,Avenida Amazonas,6455,5º Batalhão da Polícia Militar de Minas Gerais,Gameleira,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-902,Avenida Amazonas,115,Edifício Caxias,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-002,Avenida Amazonas,de 1201 a 1779 - lado ímpar,,Santo Agostinho,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30510-000,Avenida Amazonas,de 5701/5702 a 8999/9000,,Gameleira,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-001,Avenida Amazonas,até 559 - lado ímpar,,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30411-250,Avenida Amazonas,de 3662 a 4198 - lado par,,Prado,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-006,Avenida Amazonas,de 562 a 1200 - lado par,,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-000,Avenida Amazonas,até 560 - lado par,,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30411-220,Avenida Amazonas,de 3230 a 3660 - lado par,,Prado,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-005,Avenida Amazonas,de 561 a 1199 - lado ímpar,,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30520-000,Avenida Amazonas,de 9001/9002 ao fim,,Camargos,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30411-186,Avenida Amazonas,de 2582 a 3228 - lado par,,Prado,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-901,Avenida Amazonas,85,Galeria BH,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30431-061,Avenida Amazonas,de 3131 a 3679 - lado ímpar,,Barroca,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30421-970,Avenida Amazonas,5503,CDD Calafate,Nova Suíssa,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-906,Avenida Amazonas,314,Edifício Belbanco,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-010,Avenida Amazonas,de 1782 a 2170 - lado par,,Barro Preto,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30421-169,Avenida Amazonas,de 4201 a 5319 - lado ímpar,,Nova Suíssa,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-905,Avenida Amazonas,311,Edifício Londres,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-012,Avenida Amazonas,de 2172 a 2580 - lado par,,Barro Preto,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30421-067,Avenida Amazonas,de 5321 a 5699 - lado ímpar,,Nova Suíssa,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-907,Avenida Amazonas,491,Edifício Dantes,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30180-003,Avenida Amazonas,de 1202 a 1780 - lado par,,Barro Preto,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
30421-056,Avenida Amazonas,de 5122 a 5698 - lado par,,Nova Suíssa,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
